,asin
225075,6302679036
225152,6302717310
225235,6302676835
225247,6302717639
225337,630259331X
225364,6302681685
225637,6302686555
225639,6302682517
225645,6302717612
225660,6302681634
225766,6302639972
225860,6302717752
225881,630271771X
226005,6302656125
226103,6302712920
226111,6302682576
226156,6302700949
226278,6302715563
226339,6302689317
226437,6302718872
226442,6302712009
226553,6302711657
226747,6302703794
226758,6302718961
226861,6302717337
226875,6302678846
226900,6302707757
226916,6302719410
226927,6302717256
226929,6302593301
226950,6302720419
226969,6302719038
227049,630271110X
227100,6302722764
227198,6302712017
227437,6302728657
227480,6302725623
227540,6302722551
227619,6302670306
227669,6302731259
227692,630273486X
227695,6302706122
227764,6302730015
227777,6302682592
227817,6302744520
227819,6302728371
227936,6302641756
227991,6302722543
228067,6302719666
228093,6302746590
228145,6302718805
228159,630272273X
228212,6302623294
228230,6302534364
228267,6302751152
228390,6302730023
228625,6302725577
228712,6302747198
228718,6302760070
228948,630272256X
228958,6302682630
229110,630275433X
229121,6302749336
229132,6302685141
229257,6302747384
229377,6302703786
229384,6302763746
229388,6302737249
229398,6302728363
229782,6302734924
229810,6302762898
229834,6302751004
229912,6302725542
230122,6302760089
230160,6302762960
230212,630271544X
230274,630276209X
230303,6302763932
230409,6302757096
230427,6302763835
230537,6302768837
230632,6302754356
230652,6302739861
230663,630276386X
230772,6302767911
230818,6302763193
230885,6302766885
230996,6302767741
231035,6302746930
231045,6302783348
231051,6302766338
231059,6302747252
231092,6302776899
231107,6302760119
231130,6302776929
231165,6302763908
231175,6302766540
231192,6302763924
231218,6302787149
231251,6302787068
231263,6302791235
231329,6302779766
231331,6302787076
231393,6302789648
231416,6302753198
231484,6302779294
231529,6302768063
231560,6302756510
231570,6302787025
231666,6302717329
231686,6302782678
231706,6302772745
231837,6302795575
231858,6302797519
231875,6302787041
231926,630279482X
231938,6302798442
232088,6302779448
232244,6302783356
232257,6302784751
232461,6302797748
232536,6302800498
232566,6302799112
232580,6302798485
232636,630279756X
232699,6302797454
232744,6302798477
232774,6302798515
232823,6302763770
232836,6302796377
232847,6302756499
232858,6302797543
233004,6302796695
233009,6302800447
233021,6302747058
233037,6302795451
233079,6302794129
233089,6302800692
233113,6302800595
233119,6302779480
233121,6302802636
233125,6302765145
233131,6302800544
233149,6302795621
233178,6302800404
233203,6302800854
233225,6302732824
233280,6302801095
233362,6302801133
233402,6302797462
233443,6302794404
233572,6302800587
233690,6302806348
233882,6302784743
233897,630280471X
233912,630280664X
234003,6302805406
234014,6302800560
234037,6302800536
234082,6302798434
234202,6302807573
234211,6302799163
234295,6302814669
234306,6302800471
234326,6302804590
234393,6302800722
234449,6302787262
234457,6302801060
234470,6302802660
234480,6302801117
234486,6302765412
234541,6302800420
234554,6302782511
234594,6302797675
234606,6302806305
234671,6302765188
234805,6302800897
234864,6302814146
234940,6302824435
235016,6302763878
235038,6302797535
235367,6302795567
235611,6302814804
235685,6302760062
236083,630285878X
236123,6302797713
236124,6302821258
236203,6302824451
236362,6302806577
236370,630279742X
236677,6302824737
236711,6302842263
236784,6302873150
236879,6302783968
236905,6302800579
236934,6302874564
237100,6302877873
237128,630287498X
237152,6302804744
237210,6302874521
237287,6302874785
237319,6302859727
237452,6302877911
237494,6302880882
237684,630287873X
237711,6302872669
237943,6302922925
237953,6302884780
237983,6302922941
238014,6302804752
238051,6302944775
238101,6302946530
238116,6302946565
238129,6302962048
238220,6302969212
238223,6302969565
238224,6302969204
238228,6302969654
238242,6302969433
238294,6302969239
238314,6302969840
238315,6302946387
238323,6302945100
238336,6302969697
238344,6302980399
238366,630296959X
238380,6302968062
238418,6302980437
238449,6302969700
238545,6302973945
238583,6302982693
238587,6302969603
238599,6302983274
238649,6302897386
238665,6302969972
238799,6302985277
238854,6302973740
238883,6302969883
238903,6302985250
238933,6302981735
238950,6302985315
238952,630296931X
239181,6302986338
239285,6302967899
239383,6302989736
239386,6302985870
239421,6302985943
239463,6302989523
239569,6302986109
239583,6302993210
239596,6302993016
239665,6302986052
239725,6302967376
239775,630298971X
239827,630298968X
239833,6302969387
239864,6302990033
239914,6302969263
239926,6302993342
239944,6302985935
239977,6302990114
239982,630299408X
240125,630297352X
240244,6302994071
240247,630296928X
240259,6302969581
240294,6302985307
240326,6302995957
240333,6302994500
240583,6302999413
240606,6302999782
240662,6302993652
240693,6302999588
240705,6302969794
240756,6302993695
240765,6302995930
240772,6303000649
240820,630300279X
240908,6302995779
240978,6302985293
241027,6302970040
241128,6302970423
241134,6303003990
241138,6303000827
241253,6302989949
241262,6302990130
241281,6302990149
241288,6303011403
241312,6302993644
241348,6302993636
241405,6302993628
241442,6303014046
241471,6302985323
241481,6302969301
241636,6303002781
241697,6302995817
241709,6302999278
241822,6302987857
241850,6302993245
241862,6303011071
241883,630300783X
241888,6302995914
241903,6302995795
241945,6303018327
241947,6302969395
241967,6303018017
241974,6303002048
242033,6303022936
242040,6303014887
242056,6302990025
242123,6302995949
242125,6303018351
242135,6303002692
242220,6303022901
242230,6303023037
242280,6303011012
242295,6303002145
242379,630300413X
242514,6303011969
242546,6302999928
242556,6302989744
242598,6302969271
242663,6302969778
242665,6303015999
242692,6302999472
242696,6302980984
242831,630302291X
242848,6302973570
242897,6302993040
242966,6303026672
242994,6302999642
243022,6303014089
243033,630301402X
243053,6303002889
243061,6303019927
243064,6303023045
243066,630301478X
243095,6303011063
243104,630303134X
243111,6302921384
243122,6302993199
243135,6302993660
243165,6303031897
243189,6303014879
243200,630299361X
243208,6302999790
243216,6303038522
243261,6303038697
243269,6303029264
243306,6303014038
243355,6303038913
243396,6303036813
243407,6303015972
243421,6303027016
243494,6302969786
243500,6302995760
243579,6303005233
243597,630303943X
243651,6302985285
243683,6303026990
243813,6303029183
243848,6303032532
243851,6303042503
243987,630300203X
244002,6303019854
244084,630301397X
244091,6302989728
244124,6303022928
244193,6303046479
244197,6303047025
244198,6303017983
244269,6303046487
244302,6303025625
244374,6303046975
244483,6303037453
244497,6303004776
244515,6302977193
244613,630303702X
244815,630299988X
244970,6303012035
245040,6303031862
245079,6303026605
245188,6303018025
245218,6303046940
245351,6303037445
245419,6303039693
245476,6303038875
245513,630303828X
245580,6303050093
245612,6303004849
245641,6303042198
245738,6303038743
245777,6303049044
245865,6303049001
245879,6303039243
245893,6303052606
245898,6303048072
245899,6303047424
245941,6303051618
246043,6303039707
246140,6303039405
246204,6303052207
246230,6303039251
246270,6303052487
246278,6303046754
246279,6303031803
246374,6303004830
246433,6303058477
246437,6303031382
246479,6303026982
246483,6303029310
246529,6303012140
246566,6303050085
246582,6303048099
246639,6303052630
246825,6303047254
246836,6303050069
246967,6303038816
247060,6303052436
247076,6303032427
247136,6303050107
247179,6303050050
247202,6303014860
247313,6303050077
247441,630306020X
247453,6303037399
247500,6303058833
247519,6303039456
247538,6303026451
247685,6303046959
247898,6303049079
247946,6303023355
247959,630306003X
248068,6303039421
248095,6303039227
248190,6303060048
248359,6303047548
248396,6303038727
248454,6302995876
248481,6303066623
248640,6303038514
248723,6303066720
248724,6303060218
248736,6303014771
248754,6303046452
248781,6303058841
248832,6303072585
248870,6303072356
248906,6303046495
248959,6303039553
248984,6303072194
249001,6303073085
249127,630305725X
249147,6303042538
249211,6303073107
249266,6303073794
249326,6303072798
249369,6303072208
249390,6303079709
249396,6303058957
249398,6303011594
249672,6303038883
249818,6303038530
249954,6303057942
250039,630306678X
250132,6303046436
250370,6303072259
250612,6303075940
250704,6303073093
251087,6303052495
251363,6303060293
251464,6303073069
251471,6303073786
251499,6303046444
251510,6303082637
251570,630305885X
251618,6303084257
251742,6303058884
251760,6303004768
251764,6303046509
251859,6303082726
251862,6303039588
252070,6303039162
252361,6303063772
252453,6303058612
252465,6303091792
252508,630309192X
252582,6303058876
252587,6303091628
252641,6303072607
252668,6303017991
252755,6303082564
252774,6303082661
252779,6303091989
252810,6303081096
253090,630309189X
253104,6303058736
253135,6303072593
253330,6303072747
253379,6303072828
253409,6303094902
253445,6303085547
253451,630308110X
253531,6303092306
253609,6303092209
253710,630309502X
253791,6303094856
253808,6303073778
253939,6303060315
253954,6303095186
254020,6303091954
254057,6303082866
254095,6303082874
254105,6303091962
254120,6303094848
254123,6303073212
254165,6303042457
254290,6303082769
254441,6303085466
254442,6303046541
254481,6303063705
254493,6303092187
254546,6303047564
254603,6303085253
254612,6303094929
254652,630306664X
254675,6303102425
254701,6303085237
254723,6303032338
254734,6303095232
254915,6303047262
254945,6303038735
254951,6303082653
255079,6303101410
255114,6303042449
255117,6303092012
255156,6303102956
255199,6303085822
255302,6303102476
255358,6303032648
255426,6303092039
255488,6303104576
255506,6303102484
255507,6303060226
255525,6303057241
255536,6303103081
255541,6303042260
255675,6303072720
255772,6303102506
255781,6303104371
255896,6303102468
255898,6303052908
255936,6303104207
255959,6303091970
255965,6303066798
256029,6303106889
256032,6303091938
256034,6303038719
256039,6303102239
256070,6303112129
256100,6303112064
256259,6303111580
256268,6303104398
256351,6303072372
256381,6303095151
256394,6303102557
256416,6303004989
256458,6303103782
256553,6303091911
256567,630310438X
256581,6303093493
256593,6303101526
256596,6303114946
256611,6303107346
256630,6303117716
256673,6303115535
256684,6303115381
256691,6303095216
256709,6303118232
256716,6303111777
256727,6303042562
256781,6303118100
256788,6303111572
256821,6303050115
256830,6303103715
256832,6303077781
256925,6303109926
257065,6303102492
257079,6303101240
257200,6303109918
257232,6303118240
257249,6303107338
257270,6302994063
257362,6303102441
257371,6303123279
257486,6303120741
257561,6303092020
257788,6303095011
258132,6303111564
258138,6303120490
258201,6303060080
258298,6303066682
258373,6303114954
258406,6303112161
258475,6303113990
258539,6303128904
258612,6303103103
258766,6303094880
258790,6303101194
258812,6303114016
258823,6303092004
258827,6303082750
258873,6303117856
258987,6303129188
259014,6303120474
259085,6303129161
259112,6303112153
259175,6303104495
259274,6303132782
259303,6303113184
259395,6303101224
259412,6303122884
259421,6303124798
259459,6303107354
259508,6303112072
259533,6303128610
259535,6303102883
259550,6303122876
259562,6303128890
259653,6303139558
259659,6303111602
259689,6303141978
259698,6303091997
259729,6303091946
259874,6303106773
259944,6303142400
259985,6303118127
260027,6303128793
260035,6303102433
260217,6303126707
260262,6303142346
260281,6303144454
260312,6303112137
260345,6303123244
260376,6303120504
260383,630309516X
260521,630310374X
260602,6303101178
260612,6303122647
260642,6303145906
260672,6303144527
260685,630310679X
260690,6303120954
260782,6303118119
260917,6303149189
260962,6303129013
261026,6303058167
261036,6303111947
261160,6303148255
261284,6303149316
261526,6303147135
261626,630310990X
261664,6303126723
261747,6303113486
261759,6303153305
261805,6303153461
261808,6303149170
261892,6303106862
261991,6303150896
262124,6303152821
262182,6303114008
262357,6303158579
262390,6303148387
262398,6303149197
262485,6303118259
262552,6303152759
262796,630312898X
262857,630310245X
263122,6303140165
263854,6303145884
263870,6303148409
263957,6303139132
264051,6303158277
264075,6303162290
264188,630315851X
264274,6303144659
264291,630315350X
264325,6303060013
264396,6303154719
264476,6303155030
264562,6303146686
264605,630316675X
264612,6303148263
264634,6303146074
264715,6303131891
264721,6303167314
264746,6303168345
264784,6303153348
265238,6303161944
265321,630311539X
265517,6303120512
265698,6303168248
265788,6303094937
265794,6303095224
265926,6303111629
266067,6303139663
266101,6303129145
266133,6303154670
266253,6303160093
266378,6303149200
266386,6303168426
266450,6303168663
266483,630315087X
266570,6303159524
266605,6303113192
266707,6303013171
266793,6303182232
266825,6303182402
266874,6303159923
266906,6303182364
266943,6303149162
267013,6303168191
267165,6303184170
267187,6303131123
267259,6303165737
267261,630319138X
267337,6303168604
267396,6303182135
267404,6303165680
267469,630317079X
267586,630312433X
267689,6303120466
267692,6303194184
267793,630318264X
267829,6303191622
267874,6303166520
267878,6303184103
267952,6303184138
267974,6303192254
268053,6303150926
268074,6303198619
268076,6303196543
268161,6303160085
268190,6303194508
268327,6303170498
268350,6303196527
268353,6303204163
268431,6303201288
268748,6303155014
268808,6303197647
268920,6303191398
268966,6303203264
269077,630318457X
269268,6303203302
269331,6303202020
269400,6303201806
269464,6303200974
269709,6303209939
269754,630321245X
269772,6303209955
270000,6303194176
270160,6303209971
270353,6303178960
270372,6303219233
270375,6303202039
270403,6303212379
270486,6303084095
270487,6303212395
270509,6303184464
270601,6303184154
270612,6303152880
270623,6303205364
270816,630318720X
270845,6303213650
270968,6303212298
271296,6303187196
271346,6303224407
271395,6303202225
271515,6303201261
271520,6303212387
271526,6303213677
271589,6303184219
271861,6303231799
271969,6303145930
271978,6303187218
272110,6303191967
272134,6303212220
272313,6303234437
272365,6303168957
272426,6303215882
272450,6303238114
272561,6303181929
272609,6303186874
272702,6303203310
272807,6303222560
272857,6303243606
272869,6303234399
272898,6303234461
272942,6303234534
273028,630320385X
273046,6303209866
273127,6303203256
273135,6303236685
273253,6303212263
273266,6303213820
273291,6303233600
273611,6303213782
273694,6303140157
273756,6303223052
273827,6303247830
273861,6303244033
273967,6303257186
274001,6303251595
274012,6303231837
274019,6303250793
274060,6303241387
274074,6303248942
274143,6303248497
274157,6303236677
274366,6303257267
274394,6303250726
274575,6303257240
274582,6303209963
274630,6303206158
274729,6303257275
275082,6303223400
275083,6303248209
275326,6303215688
275395,6303257852
275735,6303257178
275765,630322427X
275914,6303257844
275985,6303258344
276050,6303261736
276063,6303257305
276115,6303241379
276188,6303257410
276288,6303251390
276399,6303213707
276423,6303257445
276503,6303269834
276517,6303265731
276557,6303257380
276613,6303257372
276738,6303257313
276905,6303257429
276999,6303265774
277028,630324131X
277198,6303219152
277414,6303254039
277604,6303266371
277628,6303274714
277708,6303191975
277829,6303261744
277843,6303276261
277862,6303276881
277873,6303284183
277876,6303278795
277922,6303219535
277956,6303278736
277976,6303258395
277986,630327417X
278089,6303283691
278148,6303269370
278232,6303257739
278236,6303283845
278306,6303286542
278310,6303257291
278366,6303257690
278369,6303269826
278372,6303269966
278385,6303215440
278428,6303241182
278434,630329328X
278461,6303257194
278525,6303257348
278784,6303272916
278836,6303236723
278857,6303265715
278911,6303261396
278986,6303235158
279130,6303258158
279272,6303232221
279279,6303300707
279386,6303269680
279395,6303269869
279484,6303296726
279590,6303232655
279662,6303292860
279778,6303314759
279832,6303295614
279894,6303217508
279921,6303315380
279943,6303257712
279945,6303257828
279957,6303312381
280001,6303307787
280228,6303283454
280430,6303308430
280559,6303320570
280577,6303307779
280597,6303307884
280728,6303313329
280775,6303323200
280835,6303284019
280881,630332102X
280899,6303317340
280928,6303269850
280947,6303321046
280952,6303305520
281064,630327630X
281069,6303295576
281114,6303323197
281168,630331578X
281197,6303333079
281305,6303313337
281371,630326185X
281561,6303308651
281667,6303326838
281687,6303334288
281689,630330821X
281743,6303326781
281768,6303309194
281806,6303298311
281813,6303307930
281825,6303295657
281909,6303304176
281923,6303274773
281939,6303320600
281956,6303337120
281972,6303334296
281979,6303332870
282040,6303336485
282059,6303338690
282064,6303316042
282098,6303298141
282104,6303315739
282105,6303272207
282144,6303341322
282194,6303274684
282219,6303315305
282230,6303313345
282252,6303336337
282358,6303326811
282455,6303344224
282576,6303337007
282581,6303354912
282608,630334125X
282644,6303328172
282653,6303257720
282697,6303340911
282722,6303336884
282763,6303336205
282800,6303320562
282882,6303272991
283017,6303354734
283023,6303341314
283095,6303341888
283098,6303354904
283197,6303322751
283329,630325764X
283379,6303338569
283461,6303265812
283517,6303328164
283560,6303359574
283628,6303320589
283711,6303284043
283741,6303360009
283769,6303308252
283838,6303347738
283886,6303356427
283902,6303360025
283943,6303362966
283977,6303327966
284015,6303364713
284016,6303365655
284030,6303346359
284051,6303316212
284064,6303354742
284183,6303355102
284293,6303295290
284310,6303332188
284311,6303365795
284316,6303295282
284320,6303366880
284326,6303363598
284361,6303307973
284373,6303340830
284449,6303340997
284493,6303355080
284527,6303328199
284534,6303360041
284565,6303336795
284597,6303366589
284623,630332682X
284638,6303328180
284692,6303346375
284699,6303382347
284723,6303382959
284733,6303347703
284840,6303379117
284843,6303334385
284865,6303306519
284882,6303358381
284902,6303355005
284918,6303364438
284949,6303387810
284967,6303342043
285038,630338630X
285053,6303383289
285061,6303386334
285221,6303394043
285288,6303369170
285309,6303377203
285477,6303393985
285538,6303288138
285544,6303366953
285582,6303394353
285814,6303294103
285834,630338305X
285846,6303392024
285857,6303391915
286032,6303383319
286033,6303354939
286074,6303394051
286124,6303389554
286190,6303382932
286309,6303382975
286414,6303383335
286464,6303365019
286519,6303272797
286532,6303250742
286664,6303383378
286711,6303394035
286737,6303383238
286756,6303364667
286875,6303394019
286882,6303400396
286930,6303369081
286939,6303394027
286991,6303404855
287068,6303404863
287159,6303382983
287171,6303366570
287178,6303364721
287235,6303366503
287253,6303394213
287267,6303391648
287272,6303410847
287293,6303397042
287304,6303382940
287311,6303410170
287334,6303398685
287339,630335906X
287350,6303405673
287396,6303397093
287406,6303413293
287417,6303410863
287492,6303407196
287504,6303418724
287505,6303413919
287597,630340720X
287724,6303406610
287787,6303375189
287823,6303393918
287835,6303416403
287854,6303413870
287866,6303398243
287873,6303422004
287878,6303398367
287938,6303347665
287941,6303419658
287963,6303421725
287987,6303422969
288038,6303425437
288039,6303413161
288042,6303421148
288060,6303423051
288087,6303392075
288119,6303398375
288135,6303419771
288147,6303406491
288234,6303422853
288254,6303425585
288309,6303383327
288323,6303364780
288373,6303427502
288405,6303414028
288432,6303430910
288439,6303419348
288543,6303413102
288590,6303413250
288610,6303365752
288629,6303430961
288716,6303427472
288789,630342290X
288845,6303394345
288960,6303394248
288964,6303402232
288982,6303419763
289007,6303365663
289050,6303406971
289079,6303402461
289136,6303422942
289165,6303421156
289199,6303422896
289226,6303407188
289343,6303408524
289345,6303386725
289378,6303425526
289386,6303439748
289454,630339860X
289520,6303418538
289544,6303407161
289570,6303443060
289603,6303430953
289623,6303442447
289671,6303405606
289888,6303383076
289896,6303442277
289926,6303422012
290026,6303416543
290036,6303444326
290167,6303336981
290172,6303447724
290182,6303442390
290189,6303416578
290240,6303364705
290242,6303427294
290254,6303447589
290285,6303425623
290313,6303425577
290366,6303444369
290396,630344587X
290444,6303450229
290470,6303439705
290472,6303442366
290494,6303415520
290533,6303433766
290569,6303383009
290576,6303454038
290623,6303430562
290685,630340717X
290861,6303441386
290891,6303442358
290918,6303396623
290941,6303421016
291017,6303439217
291039,6303453899
291094,6303450938
291100,630340264X
291134,6303451519
291199,6303450830
291221,6303459765
291359,6303444075
291427,6303451551
291456,6303451489
291485,630344265X
291511,6303450199
291525,6303433782
291547,6303451144
291582,6303422020
291606,6303398480
291645,6303464491
291754,6303459838
291992,6303420648
292010,6303459978
292042,6303447740
292423,6303454542
292715,6303430570
292787,6303450202
292931,630341964X
293144,6303430546
293161,6303464718
293297,630343102X
293372,6303434134
293403,630341642X
293483,6303467199
293516,6303443222
293677,6303442854
293681,6303467237
293763,6303465927
293766,6303445330
293839,6303460089
293953,6303444652
294049,6303450849
294066,6303471102
294078,6303421903
294205,6303471137
294228,630346730X
294234,630339406X
294332,6303454585
294558,6303451527
294591,630347117X
294676,6303445578
294711,6303471552
294817,6303471471
294872,6303471463
294882,6303467717
295148,6303471617
295173,6303467857
295377,6303464831
295571,6303471404
295623,6303439330
295647,6303471641
296038,6303451543
296377,6303442382
296383,6303450083
296784,6303464742
296796,6303465846
296857,6303464696
297017,6303422136
297053,6303471277
297132,6303473261
297135,6303369162
297180,630344315X
297356,6303358365
297404,6303451586
297452,630345786X
297466,6303402178
297548,6303460046
297596,6303460151
297618,6303391931
297633,6303477135
297680,6303481264
297694,6303422977
297839,6303471579
297915,6303413269
298001,6303451446
298068,6303482627
298083,6303482635
298103,6303454488
298105,6303480365
298168,6303471706
298316,6303477151
298319,6303482201
298375,6303450881
298382,630346470X
298423,6303482651
298428,6303457703
298438,6303486754
298503,6303486584
298562,6303454925
298575,6303471587
298591,6303478336
298697,6303481345
298809,6303471099
298977,6303364985
299154,6303492495
299172,6303460097
299186,6303486762
299216,6303494358
299227,6303471757
299399,6303481302
299412,6303451578
299498,6303455190
299557,6303490999
299588,6303499465
299621,6303471501
299635,6303471153
299693,6303464572
299731,6303491030
299796,6303455204
299814,6303482295
299829,6303487645
299903,6303405770
299965,6303451438
300034,6303471390
300152,6303486894
300198,6303501281
300219,630348364X
300246,6303499988
300248,6303506259
300411,6303422993
300418,6303521231
300436,6303471455
300442,630350986X
300480,6303511589
300642,6303494080
300654,6303491383
300832,6303521436
300919,6303506240
300965,6303503381
300991,6303506275
301024,6303507565
301087,6303459994
301124,6303507689
301224,6303490972
301352,6303534252
301506,630347151X
301581,6303467695
301583,6303499996
301697,6303492509
301743,6303533671
301834,6303534422
301950,6303515290
301988,6303482643
302005,630344394X
302253,630353693X
302293,6303515894
302533,6303471595
302623,6303471714
302692,6303490980
302890,630347327X
303223,6303503624
303362,6303500021
303495,6303515223
303556,6303522653
303636,6303477143
303640,6303451535
303743,630351524X
303859,630354195X
303875,630352138X
303946,6303510108
304363,6303486738
304422,6303443109
304487,6303439756
304512,6303536026
304671,6303536069
304769,6303515231
304793,6303534465
304962,6303534392
305011,6303553435
305046,6303560059
305053,6303548970
305198,6303560113
305255,6303515304
305265,6303542352
305277,6303522661
305394,6303560105
305416,6303523072
305454,6303562248
305554,6303560121
305562,6303541399
305602,6303495591
305641,6303562337
305836,6303540104
305861,6303560091
305983,6303566685
305988,6303560067
306127,6303566634
306328,6303562477
306448,6303562515
306473,6303536077
306492,6303568238
306530,6303566405
306569,6303510361
306571,6303574203
306632,630356822X
306725,6303548830
306932,6303567126
306997,6303541631
307075,6303441475
307249,6303581307
307250,6303522491
307259,6303522548
307311,6303560326
307456,6303521398
307476,6303487696
307499,6303404952
307558,630354231X
307570,6303549004
307582,6303585922
307611,6303589146
307621,6303589073
307647,6303562310
307651,6303560083
307664,6303491006
307705,6303574289
307722,6303568254
307795,6303588999
307817,6303589111
307869,6303544428
307881,6303585523
307882,6303548687
307898,6303588972
307905,6303593135
307993,630355346X
308102,6303566537
308189,6303491200
308295,6303579396
308369,6303482619
308382,6303585353
308384,6303584993
308453,6303542360
308490,6303593267
308500,6303593178
308574,6303467253
308671,6303499171
308691,6303544509
308742,6303593283
308788,6303587631
308901,6303593380
308911,6303593410
308942,6303514723
309014,6303566472
309024,6303589138
309122,6303501141
309126,630356027X
309157,6303579612
309183,6303585329
309232,6303575617
309267,6303544452
309275,6303605710
309317,6303571638
309342,6303588980
309367,6303593607
309529,6303534988
309577,6303504418
309622,6303591922
309636,6303584268
309761,6303617719
309766,6303605664
309770,630358909X
309788,630362572X
309792,6303614299
309848,6303619983
309917,6303454003
309931,6303625886
309964,6303625703
309985,6303562264
310040,6303626475
310107,6303584845
310110,6303589065
310241,6303626416
310291,6303625959
310334,6303626513
310422,6303584683
310464,6303593143
310494,6303597866
310499,6303541607
310555,630362751X
310601,6303619932
310616,6303593577
310727,6303495818
310770,6303592554
310811,6303593666
310851,6303631940
310899,6303637469
311011,630363642X
311113,6303614337
311273,6303542344
311306,6303610730
311376,6303599109
311676,630358912X
311682,6303575358
312062,6303615600
312116,6303640419
312120,6303534384
312280,6303636365
312314,6303625878
312351,6303521517
312430,6303646689
312510,630358490X
312603,6303562302
312722,6303593593
312732,6303608051
312759,6303632769
312807,6303610781
312904,6303654312
312970,6303614272
312996,6303637620
313003,6303620264
313046,6303614329
313070,6303626467
313215,6303646344
313335,6303666809
313483,6303614353
313553,6303586112
313632,6303637582
313636,630363270X
313677,6303593542
313702,6303566545
313819,6303544584
313913,6303593186
313940,6303553761
314023,6303637574
314029,6303544746
314061,6303631908
314063,6303651453
314067,6303593674
314113,6303667031
314157,6303625827
314359,6303674992
314399,6303683002
314426,6303637639
314520,6303579345
314537,6303575633
314599,630369084X
314663,6303675026
314713,6303651488
314720,6303674585
314800,6303605672
314810,6303686869
314868,6303686761
314901,6303631851
315073,6303646417
315079,6303563031
315150,6303651984
315313,6303675220
315488,6303578039
315515,6303695833
315803,630368727X
316071,630361437X
316077,630365164X
316184,6303686877
316410,6303589154
316549,6303589952
316608,6303695183
316677,6303662560
316822,6303675034
316920,6303686834
317041,6303690122
317093,6303651658
317095,6303818331
317114,6303610811
317329,6303698344
317385,6303682979
317544,630362815X
317557,6303679021
317563,6303809855
317657,630383258X
317663,6303584810
317706,6303686842
317711,6303696813
317740,6303614280
317971,6303695841
318033,6303625738
318115,6303820905
318270,6303589189
318346,6303631894
318506,630365147X
318609,630381350X
318613,6303651631
318769,6303662544
318772,6303801919
319053,6303854419
319090,6303854222
319127,6303686850
319217,6303824498
319267,6303637493
319295,6303832563
319539,6303690610
319641,6303534376
319674,6303620256
319756,6303686788
319783,6303631916
319802,6303854346
319816,6303696929
319917,6303832601
319959,6303855431
320048,6303686737
320098,6303697232
320254,630383261X
320257,6303686745
320333,630368680X
320597,630385303X
320722,6303690653
320779,630382448X
320787,630368677X
321037,6303651879
321101,6303853226
321105,6303804357
321341,630381106X
321487,6303853102
321514,6303627684
321625,6303675387
321707,6303625800
321768,6303697224
321876,6303823351
322156,6303704506
322391,630354200X
322398,6303855482
322414,6303853218
322533,6303854311
322668,6303801870
322780,6303696805
322829,6303865496
322854,6303592570
322903,6303824358
322942,6303820883
322965,6303686818
323235,6303853013
323309,6303864740
323424,6303824382
323429,6303826733
323515,6303695795
323676,6303686885
323782,6303867898
323821,6303852580
323829,6303625967
323884,6303854508
323967,6303861377
323992,6303697194
324108,6303832431
324350,6303861733
324379,6303898785
324388,6303855490
324406,6303816339
324489,6303666779
324534,6303905188
324625,6303890547
324659,6303595758
324687,6303905668
324691,6303683568
324731,6303903924
324741,6303891357
324744,630386001X
324825,6303908306
324877,630386550X
324894,6303562280
324910,6303854540
324961,6303908802
324981,6303905587
325072,6303697259
325083,6303891217
325102,6303908322
325105,6303908225
325129,6303593720
325161,6303631932
325175,6303905439
325314,6303917194
325335,6303855555
325355,6303905404
325397,630385320X
325408,6303916880
325443,630386483X
325501,6303908551
325515,6303696821
325525,6303912737
325624,6303912729
325641,630387827X
325692,630391134X
325694,6303890458
325708,6303865348
325735,6303872727
325760,6303878326
325771,6303905463
325842,6303921981
325880,6303651917
325888,6303922163
325933,6303816320
325962,6303686907
325980,6303914039
325994,6303861369
326108,630389318X
326109,630392218X
326111,6303911579
326162,6303916228
326337,6303900798
326412,6303920721
326476,630391750X
326520,6303924670
326527,6303925235
326545,6303878296
326685,6303921663
326779,6303878415
326970,6303625835
327002,6303922147
327189,6303694721
327195,6303924832
327284,6303686826
327332,6303890164
327339,6303925790
327358,6303920713
327454,6303917569
327481,6303918468
327494,6303917461
327525,6303929966
327670,6303879365
327680,6303929338
327692,630386905X
327693,6303620000
327701,6303929583
327732,6303626459
327759,6303929567
327772,6303921248
327775,6303925782
327783,6303927823
327816,6303909000
328026,6303682952
328044,6303918530
328064,6303908586
328231,6303905269
328260,6303912656
328346,6303935249
328491,6303926177
328624,6303934757
328646,6303909949
328660,6303922198
328728,6303918522
328968,6303829422
329055,6303925049
329130,6303935397
329186,6303869041
329270,6303855512
329325,6303934579
329341,6303934471
329355,6303937497
329367,6303935826
329396,6303937357
329407,6303937160
329425,630392994X
329510,6303917410
329530,6303935877
329535,6303854400
329540,6303894534
329631,6303937470
329667,6303646743
329741,6303926746
329753,630390811X
329792,6303934501
329805,6303917224
329820,6303926703
329863,6303935702
329899,6303934528
329998,6303929591
330009,6303944019
330013,6303943276
330052,6303934560
330168,6303935443
330272,630386340X
330274,6303943349
330310,630393675X
330333,6303935303
330363,6303922376
330468,6303944027
330490,6303935346
330497,6303929974
330550,6303929575
330591,6303943306
330638,6303943292
330716,6303922511
330729,6303947840
330771,6303924891
330785,6303943322
330817,6303950000
330922,6303943314
330993,6303935192
331035,6303934870
331065,6303832571
331130,630395331X
331155,6303922244
331162,6303949436
331262,6303935222
331267,6303855466
331278,6303935184
331334,6303935516
331394,6303937489
